"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"2100000000204","더불어민주당",258,16,2,5,0.858287513256073,0.935943060498221,-0.235167250037193,0.0660175383090973,0,0,0
"2100000000205","국민의힘",167,23,5,11,0.704033255577087,0.864077669902913,0.928726077079773,-0.254360765218735,0,0,0
"2100000000206","무소속",220,12,2,0,0.846559524536133,0.94017094017094,0.122115194797516,0.413387894630432,0,0,0
"2100000000207","더불어민주당",275,9,2,6,0.882320404052734,0.962328767123288,-0.0759808719158173,0.292308270931244,0,0,0
"2100000000208","정의당",229,20,5,42,0.751623272895813,0.915540540540541,-0.819527387619019,0.152522072196007,0,0,0
"2100000000209","더불어민주당",310,11,0,2,0.909571528434753,0.96594427244582,-0.00979809835553169,0.0859612599015236,0,0,0
"2100000000210","더불어민주당",292,4,0,1,0.930223286151886,0.986531986531986,0.178940653800964,0.0186520665884018,0,0,0
"2100000000211","더불어민주당",123,12,4,6,0.772074103355408,0.889655172413793,-0.338499635457993,0.501507520675659,0,0,0
"2100000000212","더불어민주당",314,2,0,1,0.948958814144135,0.993690851735016,0.237582966685295,-0.00631151301786304,0,0,0
"2100000000213","국민의힘",279,11,0,0,0.879265546798706,0.962068965517241,0.589950442314148,0.0755828619003296,0,0,0
"2100000000214","국민의힘",307,9,0,4,0.870843529701233,0.971875,0.654803395271301,-0.0768836215138435,0,0,0
"2100000000215","국민의힘",279,16,0,0,0.828477323055267,0.945762711864407,0.579643309116364,0.335414946079254,0,0,0
"2100000000216","국민의힘",253,3,0,0,0.931229293346405,0.98828125,0.408172309398651,0.0972814336419106,0,0,0
"2100000000217","국민의힘",234,7,0,6,0.861865818500519,0.97165991902834,0.712889611721039,-0.359917432069778,0,0,0
"2100000000218","더불어민주당",203,10,2,11,0.827899098396301,0.946902654867257,-0.340378731489182,0.262600511312485,0,0,0
"2100000000219","국민의힘",179,36,0,3,0.650098443031311,0.834862385321101,0.622434437274933,0.782671868801117,0,0,0
"2100000000220","더불어민주당",282,3,0,1,0.94909256696701,0.989510489510489,0.198493823409081,0.00388024304993451,0,0,0
"2100000000221","더불어민주당",255,11,1,12,0.846163034439087,0.956989247311828,-0.276966154575348,0.201392784714699,0,0,0
"2100000000222","국민의힘",301,14,0,0,0.851569533348083,0.955555555555556,0.621245563030243,0.121032439172268,0,0,0
"2100000000223","더불어민주당",254,39,11,6,0.705761253833771,0.838709677419355,-0.490103542804718,-0.323720127344131,0,0,0
"2100000000224","더불어민주당",270,9,2,4,0.899849236011505,0.96140350877193,-0.0395880341529846,0.289216607809067,0,0,0
"2100000000225","더불어민주당",286,4,1,0,0.92749434709549,0.982817869415808,0.199202656745911,0.0763416886329651,0,0,0
"2100000000226","국민의힘",295,14,0,6,0.839174270629883,0.955555555555556,0.700580894947052,-0.31452950835228,0,0,0
"2100000000227","더불어민주당",211,25,2,15,0.734174013137817,0.893280632411067,-0.373266071081161,0.927724361419678,0,0,0
"2100000000228","더불어민주당",299,24,1,3,0.802689671516418,0.923547400611621,-0.158797487616539,-0.191796034574509,0,0,0
"2100000000229","더불어민주당",221,9,1,1,0.880350947380066,0.956896551724138,-0.00370670785196126,0.158467456698418,0,0,0
"2100000000230","국민의힘",95,2,1,5,0.876640558242798,0.970873786407767,0.703713059425354,-0.473243832588196,0,0,0
"2100000000231","더불어민주당",268,10,1,13,0.872624754905701,0.962328767123288,-0.258586823940277,0.496161788702011,0,0,0
"2100000000232","정의당",225,29,6,59,0.70104706287384,0.890282131661442,-0.930691480636597,0.0784164145588875,0,0,0
"2100000000233","국민의힘",245,22,1,6,0.758615136146545,0.916058394160584,0.691215038299561,-0.609905660152435,0,0,0
"2100000000234","더불어민주당",291,20,0,4,0.838393032550812,0.936507936507937,-0.180680945515633,-0.459232240915298,0,0,0
"2100000000235","더불어민주당",296,3,0,0,0.953405439853668,0.989966555183946,0.300289481878281,-0.0236224588006735,0,0,0
"2100000000236","국민의힘",249,6,0,0,0.891723811626434,0.976470588235294,0.530861020088196,0.223644018173218,0,0,0
"2100000000237","더불어민주당",238,17,5,10,0.794764518737793,0.918518518518519,-0.243239089846611,-0.739218294620514,0,0,0
"2100000000238","더불어민주당",171,8,0,1,0.82968008518219,0.955555555555556,0.193209871649742,-0.384718388319016,0,0,0
"2100000000239","국민의힘",181,28,0,16,0.731984496116638,0.875555555555556,0.984393537044525,-0.17598083615303,0,0,0
