HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD
정경희,丁慶姬,국민의힘,비례대표,2100000000239,101210,240001
정동만,鄭東萬,국민의힘,부산 기장군,2100000000240,101210,20053
정성호,鄭成湖,더불어민주당,경기 양주시,2100000000241,101182,80195
정운천,鄭雲天,국민의힘,비례대표,2100000000242,101210,240001
정일영,鄭日永,더불어민주당,인천 연수구을,2100000000243,101182,40030
정점식,鄭点植,국민의힘,경남 통영시고성군,2100000000244,101210,160012
정정순,鄭正淳,더불어민주당,충북 청주시상당구,2100000000245,101182,110001
정진석,鄭鎭碩,국민의힘,충남 공주시부여군청양군,2100000000246,101210,120076
정찬민,鄭燦敏,국민의힘,경기 용인시갑,2100000000247,101210,80067
정청래,鄭淸來,더불어민주당,서울 마포구을,2100000000248,101182,10040
정춘숙,鄭春淑,더불어민주당,경기 용인시병,2100000000249,101182,80175
정태호,鄭泰浩,더불어민주당,서울 관악구을,2100000000250,101182,10063
정필모,鄭必模,더불어민주당,비례대표,2100000000251,101182,240001
정희용,鄭熙溶,국민의힘,경북 고령군성주군칠곡군,2100000000252,101210,150022
조경태,趙慶泰,국민의힘,부산 사하구을,2100000000253,101210,20022
조명희,曺明姬,국민의힘,비례대표,2100000000254,101210,240001
조수진,趙修眞,국민의힘,비례대표,2100000000255,101210,240001
조승래,趙承來,더불어민주당,대전 유성구갑,2100000000256,101182,60014
조오섭,曺五燮,더불어민주당,광주 북구갑,2100000000257,101182,50007
조응천,趙應天,무소속,경기 남양주시갑,2100000000258,101030,80053
조정식,趙正湜,더불어민주당,경기 시흥시을,2100000000259,101182,80058
조정훈,趙廷訓,국민의힘,비례대표,2100000000260,101210,240001
조태용,趙太庸,국민의힘,비례대표,2100000000261,101210,240001
조해진,曺海珍,국민의힘,경남 밀양시의령군함안군창녕군,2100000000262,101210,160126
주철현,朱哲鉉,더불어민주당,전남 여수시갑,2100000000263,101182,140003
주호영,朱豪英,국민의힘,대구 수성구갑,2100000000264,101210,30014
지성호,池成浩,국민의힘,비례대표,2100000000265,101210,240001
진선미,陳善美,더불어민주당,서울 강동구갑,2100000000266,101182,10076
진성준,陳聲準,더불어민주당,서울 강서구을,2100000000267,101182,10047
천준호,千俊鎬,더불어민주당,서울 강북구갑,2100000000268,101182,10022
최강욱,崔康旭,더불어민주당,비례대표,2100000000269,101182,240001
최기상,崔基相,더불어민주당,서울 금천구,2100000000270,101182,10053
최승재,崔承宰,국민의힘,비례대표,2100000000271,101210,240001
최연숙,崔姸淑,국민의힘,비례대표,2100000000272,101210,240001
최인호,崔仁昊,더불어민주당,부산 사하구갑,2100000000273,101182,20020
최종윤,崔鍾允,더불어민주당,경기 하남시,2100000000274,101182,80061
최춘식,崔春植,국민의힘,경기 포천시가평군,2100000000275,101210,80189
최형두,崔炯斗,국민의힘,경남 창원시마산합포구,2100000000276,101210,160123
최혜영,崔惠英,더불어민주당,비례대표,2100000000277,101182,240001
추경호,秋慶鎬,국민의힘,대구 달성군,2100000000278,101210,30031
태영호,太永浩,국민의힘,서울 강남구갑,2100000000279,101210,10068
하영제,河榮帝,무소속,경남 사천시남해군하동군,2100000000280,101030,160119
하태경,河泰慶,국민의힘,부산 해운대구갑,2100000000281,101210,20055
한기호,韓起鎬,국민의힘,강원 춘천시철원군화천군양구군을,2100000000282,101210,210034
한무경,韓茂景,국민의힘,비례대표,2100000000283,101210,240001
한병도,韓秉道,더불어민주당,전북 익산시을 ,2100000000284,101182,130006
한정애,韓貞愛,더불어민주당,서울 강서구병,2100000000285,101182,10099
한준호,韓俊鎬,더불어민주당,경기 고양시을,2100000000286,101182,80178
허영,許榮,더불어민주당,강원 춘천시철원군화천군양구군갑,2100000000287,101182,210033
허은아,許垠娥,국민의힘,비례대표,2100000000288,101210,240001
허종식,許琮植,더불어민주당,인천 동구미추홀구갑,2100000000289,101182,210022
홍기원,洪起元,더불어민주당,경기 평택시갑,2100000000290,101182,80031
홍문표,洪文杓,국민의힘,충남 홍성군예산군,2100000000291,101210,120018
홍석준,洪碩晙,국민의힘,대구 달서구갑,2100000000292,101210,30018
홍성국,洪性國,더불어민주당,세종특별자치시갑,2100000000293,101182,210025
홍영표,洪永杓,더불어민주당,인천 부평구을,2100000000294,101182,40014
홍익표,洪翼杓,더불어민주당,서울 중구성동구갑,2100000000295,101182,10096
홍정민,洪貞敏,더불어민주당,경기 고양시병,2100000000296,101182,80192
홍준표,洪準杓,국민의힘,대구 수성구을,2100000000297,101210,30016
황보승희,皇甫承希,무소속,부산 중구영도구,2100000000298,101030,20049
황운하,黃雲夏,더불어민주당,대전 중구,2100000000299,101182,60003
황희,黃熙,더불어민주당,서울 양천구갑,2100000000300,101182,10042
김의겸,金宜謙,더불어민주당,비례대표,2100000000301,101182,240001
